Sowing,Harvesting,Latitude,Longitude,min_vh,min_vv,max_vh,max_vv,range_vh,range_vv,mean_vh,mean_vv,std_vh,std_vv,ratio_vv_vh,rvi
26-07-18,28-12-18,15.672,78.419,0.021753203123807907,0.07013595849275589,0.037127602845430374,0.31425169110298157,0.015374399721622467,0.24411573261022568,0.030105071142315865,0.14073494970798492,0.005770671842172564,0.09423034527701102,4.674792131953047,1.544248471256266
25-07-18,03-12-18,25.151,85.698,0.024999434128403664,0.0951019898056984,0.18580330908298492,0.5031547546386719,0.16080387495458126,0.4080527648329735,0.08016252610832453,0.24782737903296947,0.048536397846796316,0.1255650272114038,3.0915614946824097,1.9562233790805597
26-07-18,26-12-18,20.995,86.556,0.004839160013943911,0.0326397605240345,0.053232427686452866,0.32679885625839233,0.048393267672508955,0.29415909573435783,0.020881834064400005,0.11500579647479518,0.0110448195965321,0.07087189868889131,5.507456678379636,1.4437092007102708
10-07-18,18-10-18,14.36,77.589,0.015137927606701851,0.044952090829610825,0.041090499609708786,0.18557284772396088,0.025952572003006935,0.14062075689435005,0.0235573616810143,0.09377295430749655,0.01046294431471384,0.057497485567027405,3.9806220907611842,1.6710008646179109
25-07-18,29-11-18,25.253,85.424,0.007405697833746672,0.03009807877242565,0.06979237496852875,0.23648042976856232,0.062386677134782076,0.20638235099613667,0.03023711359128356,0.09690139124936917,0.017225155276043718,0.060200981807252384,3.2047169766000048,1.9071459154291504
17-07-18,09-12-18,20.362,86.154,0.003915067762136459,0.019596775993704796,0.054987601935863495,0.4780636727809906,0.051072534173727036,0.4584668967872858,0.02191208932781592,0.13482435881160199,0.014377908770180099,0.1058121416431686,6.152966830070903,1.3881259216202795
27-07-18,28-11-18,22.242,88.192,0.014029773883521557,0.019805733114480972,0.06272052973508835,0.2623312175273895,0.04869075585156679,0.24252548441290855,0.034806512265155715,0.1432068488250176,0.014934019297222854,0.05825889989706209,4.114369395418565,1.6421845793058867
17-07-18,05-12-18,25.38,83.267,0.009258592501282692,0.0482870489358902,0.06599205732345581,0.3617633581161499,0.05673346482217312,0.3134763091802597,0.032866547643034545,0.15271724622558663,0.014141720814197015,0.07059272426560628,4.646586184964036,1.5484581739070358
20-07-18,28-12-18,17.631,83.062,0.020506076514720917,0.12224617600440979,0.07461266219615936,0.2302205115556717,0.054106585681438446,0.1079743355512619,0.037165429857042104,0.17729685538344914,0.015852828332073316,0.03572401908931211,4.77047772796996,1.5304367627379696
04-07-18,17-11-18,25.797,88.08,0.024985918775200844,0.07664439082145691,0.1387137472629547,0.4391598403453827,0.11372782848775387,0.3625154495239258,0.05879065727716998,0.20646609169872185,0.02856015599008236,0.10107348759853121,3.5118860931479716,1.7962144483604108
22-08-18,16-01-19,16.757,80.515,0.029699435457587242,0.06641390919685364,0.06822315603494644,0.36209848523139954,0.0385237205773592,0.2956845760345459,0.0456723275128752,0.20585725829005241,0.011835469538818937,0.08905282706440326,4.507264453120338,1.5702449948479484
01-07-18,02-11-18,24.525,87.994,0.0056637986563146114,0.027888046577572823,0.06409909576177597,0.2235698103904724,0.05843529710546136,0.1956817638128996,0.022494876695175966,0.09720860955615838,0.016243969076858496,0.06391053202435683,4.321366632652172,1.6021617668877957
30-06-18,10-11-18,25.689,86.978,0.009402841329574585,0.05771239101886749,0.06971550732851028,0.5062215924263,0.0603126659989357,0.44850920140743256,0.03896951113410037,0.1614687036851357,0.01587437720852673,0.07964595132182367,4.143462388570795,1.6362411102075631
09-07-18,09-11-18,26.39,85.217,0.01300473976880312,0.05186786130070686,0.0673583522439003,0.22906245291233063,0.05435361247509718,0.17719459161162376,0.03237974064217673,0.12420190139501183,0.014660181417548034,0.044969362891088174,3.835790495283669,1.7052707184562081
28-07-18,24-11-18,16.871,81.721,0.00329635594971478,0.019407907500863075,0.0392037108540535,0.2899685800075531,0.03590735490433872,0.27056067250669,0.017313948056350153,0.09472703292138046,0.012776030363818065,0.08478196773097256,5.471139951042991,1.4473132180828867
18-07-18,11-12-18,21.859,87.18,0.002681150333955884,0.012174067087471485,0.08632241189479828,0.6204504370689392,0.0836412615608424,0.6082763699814677,0.031963663183463116,0.19259478813037276,0.019785801205441076,0.12988860585240528,6.025429157632176,1.3979759613092102
04-07-18,13-11-18,23.723,88.289,0.02072524093091488,0.10030251741409302,0.08776403218507767,0.32598981261253357,0.06703879125416279,0.22568729519844055,0.048767163418233395,0.22097726576030255,0.02081830594278244,0.0631383197435444,4.531271664607051,1.5663682066847022
26-07-18,27-12-18,15.855,78.362,0.031149327754974365,0.10029994696378708,0.07975944876670837,0.3233385980129242,0.04861012101173401,0.22303865104913712,0.05278443079441786,0.20779931731522083,0.01754309376123147,0.08210981147742902,3.9367539668003078,1.6810240226487434
15-07-18,16-11-18,25.683,86.992,0.012931621633470058,0.02321024239063263,0.06348386406898499,0.3158425986766815,0.05055224243551493,0.2926323562860489,0.029621929654644594,0.13471956509682867,0.012648548126724682,0.06456416446994799,4.547967221159922,1.5637030658209259
