Sowing,Harvesting,latitude,longitude,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,precipitation_hours,sunshine_duration,daylight_duration,evapotranspiration
2018-07-07,2018-12-15,21.184,86.757,33.6915,14.8914995,41.806534,14.585817,1177.4,7.5925927,8.823644748263888,12.072338324652778,3.4912806
2018-08-01,2018-11-02,13.524,78.915,33.901997,18.202,37.450127,18.316008,340.5,5.56383,8.662003580729166,12.184954427083333,4.730228
2019-07-10,2019-11-15,14.733,77.796,36.927,21.877,39.338745,24.92871,585.6,7.403101,8.348202582465278,12.241980251736111,4.493053
2018-08-07,2018-11-30,22.575,87.996,33.55,14.35,42.12988,14.449211,546.4,6.387931,9.164619140625,11.907489149305556,3.4838884
2018-07-17,2018-11-16,22.631,88.085,34.05,16.25,42.300148,17.271692,935.50006,9.097561,8.475762261284721,12.243688151041667,3.4426765
2018-06-17,2018-10-30,27.393,82.688,40.55,14.65,45.937828,14.698683,1156.8,7.6691175,8.782728949652778,12.783850911458334,4.013838
2018-07-26,2018-11-30,25.183,86.154,35.836998,13.037001,44.613388,12.640448,728.69995,5.96875,9.219537760416667,12.015325520833333,3.5393085
2018-07-26,2018-11-16,16.928,80.944,35.1235,20.9235,40.350677,22.86983,601.5,5.6578946,8.63477322048611,12.14475802951389,4.07685
2018-08-24,2018-12-20,16.513,79.922,37.6445,17.894499,41.188274,17.992342,232.2,3.2941177,9.322217881944445,11.72978515625,4.4634347
2018-06-25,2018-11-05,26.729,83.701,38.2085,16.3585,44.70117,16.798635,1113.4,8.69403,8.877381727430556,12.627667100694444,3.848299
2018-06-23,2018-11-25,21.307,81.99,37.237,13.887,40.257545,12.740259,1225.7,7.6410255,7.757517903645834,12.342663845486111,3.6433856
2018-07-25,2018-10-31,26.894,84.003,35.137,16.637,44.273968,17.289715,860.2,8.505051,8.613965928819445,12.380322265625,3.572939
2018-07-18,2018-11-29,25.216,83.082,35.7935,13.0935,44.46283,12.778608,852.7999,6.748148,8.635901150173611,12.111306423611111,3.7243857
2018-07-15,2018-12-10,21.006,86.485,34.3455,13.5955,41.886086,13.354834,1280.4,7.328859,8.477157118055555,12.045695529513889,3.3910022
2018-07-11,2018-11-01,14.876,77.554,37.565,19.865,41.370567,18.734194,206.1,4.017544,8.874951171875,12.323911675347222,5.4181533
2018-02-04,2018-05-30,26.493,89.127,32.785,10.535001,39.24572,9.625475,569.60004,4.974138,9.543795572916666,12.431846788194445,3.5825243
2018-07-14,2018-11-07,23.011,86.719,33.767498,16.8675,42.43623,17.725658,876.89996,9.495727,8.094585503472222,12.365831163194445,3.4156046
2018-07-11,2018-11-03,23.268,86.271,33.146,17.946,40.65866,17.70383,1021.7999,10.844828,7.966039496527777,12.437329644097222,3.3933282
2018-08-04,2018-12-02,25.35,88.027,35.982502,13.7825,44.110947,13.581482,433.5,5.305785,9.507194010416667,11.893792317708334,3.5619752
2018-06-17,2018-10-08,30.336,76.572,40.4065,17.4065,43.449795,18.573925,775.80005,7.0,8.904582248263889,13.1730859375,3.9788496
2018-08-16,2018-12-29,17.82,82.929,35.030003,14.2300005,41.474876,13.753906,599.0,4.102941,9.171795789930556,11.71205078125,3.9752522
2018-07-20,2018-11-10,25.323,87.311,36.552,16.602,44.217556,17.696798,730.1,8.061403,9.162829861111112,12.299534505208333,3.6634018
2018-07-31,2018-12-02,24.98,86.789,36.108498,14.2085,43.54416,14.204723,412.89996,5.32,9.221188151041666,11.941357421875,3.5267518
2018-07-20,2018-11-27,25.305,83.188,35.7195,13.419499,44.454823,12.764435,857.3,6.6793895,8.639419487847222,12.111244574652778,3.713121
2018-07-30,2018-11-27,25.068,83.304,34.7345,14.2345,43.971283,13.923485,618.10004,5.7933884,8.777880316840278,12.003275824652778,3.7675283
2018-07-25,2018-11-17,26.148,86.12,36.202,13.852,44.933426,13.703573,576.2,7.163793,9.323565538194444,12.168677300347222,3.7233431
2018-07-18,2018-11-20,20.114,80.667,33.991,15.490999,38.928974,14.473022,677.60004,7.2619047,7.957034505208333,12.184722222222222,3.697091
2018-08-11,2018-11-28,24.966,86.826,36.101997,14.602,43.53308,14.733707,314.89996,4.609091,9.393807508680556,11.859074435763889,3.5664136
2018-09-07,2018-12-29,15.983,80.808,37.563,17.163,41.428215,16.316101,288.30002,4.2280703,9.524292534722223,11.610016276041666,3.9828815
2018-07-31,2018-12-05,24.04,88.623,34.7,14.75,43.510925,14.772312,420.3,5.4921875,9.414144965277778,11.920135633680555,3.5891051
2018-07-28,2018-12-13,23.225,88.481,33.85,12.85,41.719456,11.835611,622.8,6.28777,9.067989366319445,11.88709201388889,3.4557974
2018-08-01,2018-12-04,22.577,88.05,33.589,14.339,42.19734,14.0399,675.0,6.7222223,8.973488498263889,11.931258680555555,3.4435554
2018-08-10,2018-11-28,25.321,87.889,36.1675,13.9175,44.140575,14.004829,401.69998,5.252252,9.499193793402778,11.866650390625,3.5883598
2018-07-13,2018-11-22,16.592,81.392,34.0455,21.1955,41.55412,23.388638,803.69995,6.774436,8.526534288194444,12.189252387152777,3.9136486
2018-06-15,2018-10-27,25.74,88.22,36.724,17.874,44.80056,18.598764,958.6,10.2,8.816076388888888,12.78496310763889,3.6667676
2018-07-30,2018-11-25,17.224,81.304,34.2605,18.6105,39.675007,19.002129,714.9,6.815126,8.576368815104166,12.051871744791667,3.8381917
2018-07-17,2018-11-13,26.294,85.493,36.95,13.1,44.76902,12.506704,808.5,7.95,9.233130425347222,12.305777994791667,3.780423
2018-07-19,2018-11-27,26.725,84.064,36.0195,12.7695,44.55244,12.4594345,914.4,6.6136365,8.945160047743055,12.123207465277778,3.5701659
2018-07-02,2018-11-15,24.89,85.585,38.122,13.622,44.732986,13.54846,954.3,7.1459856,9.096832682291666,12.416285807291667,3.8825808
2018-07-10,2018-11-08,25.15,86.152,37.8,14.35,44.72649,13.72994,788.7,7.360656,9.069915907118055,12.421662326388889,3.8163702
2018-07-16,2018-11-30,22.952,88.659,34.1805,14.7805,41.639446,15.018826,1012.6,8.166667,8.712256401909722,12.11993381076389,3.4381242
2018-07-27,2018-11-23,22.316,88.303,33.5305,15.830501,41.847538,16.09978,837.2,8.383333,8.734451497395833,12.081636284722222,3.405456
2018-05-30,2018-09-16,25.19,87.929,37.148003,23.798,44.702682,27.509264,925.7999,11.772727,8.906646592881945,13.265491536458333,3.910139
2018-07-08,2018-11-17,24.848,85.437,38.6065,13.106501,44.887012,12.992107,930.2001,7.105263,8.969975043402778,12.337774522569445,3.8576922
2018-07-20,2018-11-16,22.16,88.282,33.563,16.813,41.84253,17.687511,991.7001,9.708333,8.318449978298611,12.213603515625,3.3598654
2018-07-17,2018-11-20,26.092,84.993,37.1175,14.5675,44.6361,14.242422,720.2,7.086614,9.102310112847222,12.22288302951389,3.7354662
2018-01-12,2018-05-20,26.353,89.433,33.093002,8.443,38.22766,7.5732336,482.69998,3.8062015,9.651727430555555,12.049466145833334,3.438189
2018-07-21,2018-11-13,26.045,85.102,35.726,14.726,44.68245,14.569063,713.1,7.637931,9.052257486979167,12.259652777777777,3.6963816
2018-07-31,2018-11-22,25.185,86.709,35.661,14.311001,44.430164,14.436317,523.1,6.2,9.324519314236111,12.044945746527778,3.5933182
2018-07-26,2018-11-15,23.349,86.014,32.7845,14.3845005,39.50883,14.130062,787.30005,8.256638,8.204397786458333,12.171287977430556,3.3810687
2018-08-03,2018-12-28,16.208,80.665,37.2565,16.6565,40.700153,15.620684,567.6,5.175676,8.813091362847222,11.841910807291667,4.023982
2018-07-18,2018-10-31,14.879,77.464,37.854,20.054,41.283077,19.36656,175.5,3.8584905,9.189244791666667,12.290791015625,5.48849
2018-07-13,2018-11-01,14.876,77.554,37.565,19.865,41.370567,18.734194,196.0,3.9107144,9.0074951171875,12.312810329861112,5.4534225
2018-07-28,2018-11-10,23.514,86.745,33.3375,15.537499,40.324574,15.564156,643.4,8.066038,8.493223741319444,12.203736979166667,3.5116026
2018-06-29,2018-10-04,20.856,86.199,34.187,23.637,42.164093,27.8526,1265.3,12.418367,7.533094618055555,12.761865234375,3.3647258
2018-07-28,2018-11-25,24.939,83.901,34.734,14.684,44.164455,13.630331,826.9,6.8347106,8.895009223090279,12.046662326388889,3.745202
2018-08-13,2018-11-22,16.221,80.883,35.4435,21.4435,40.558743,23.91617,412.3,5.7058825,9.059546440972222,11.977339409722223,4.0198708
2018-07-02,2018-11-05,25.243,83.998,37.586998,16.837,44.747513,16.653,1006.30005,8.259843,8.931666124131944,12.533238932291667,3.9994264
2018-07-17,2018-11-11,26.199,85.146,37.276,14.126,44.938404,13.536013,614.10004,7.661017,9.154814453125,12.328077256944445,3.7644827
2018-07-22,2018-12-24,20.95,85.842,33.912,10.862,41.152855,9.430692,1049.2,6.8141026,8.251292860243055,11.885325520833334,3.3318305
2018-06-17,2018-10-27,30.419,76.351,40.601997,13.702,43.980003,12.998508,742.7999,5.631579,9.081743706597223,12.917542317708333,3.9364405
2018-08-24,2018-12-08,15.953,80.497,38.613,19.113,41.787888,21.688292,209.2,4.5607476,9.711094835069444,11.805536024305555,4.297962
2018-07-15,2018-12-13,20.388,86.053,33.7825,15.3325,42.13363,15.276768,1538.8,7.5855265,8.255081380208333,12.025112847222223,3.3475163
2018-07-06,2018-10-24,25.3,87.95,36.078503,18.6785,44.367386,20.273476,757.7999,9.459459,9.097500542534723,12.633583984375,3.8265562
2018-07-25,2018-11-12,25.981,86.162,36.2435,14.0435,45.207096,13.873547,629.5,7.7747746,9.11421875,12.226375868055555,3.7471893
2018-06-26,2018-11-15,21.122,81.847,33.601997,15.102,40.56631,14.089056,1320.3999,8.370629,7.408148328993056,12.407032335069445,3.5608492
2018-06-30,2018-11-09,25.734,88.272,36.7175,15.9175,44.789402,16.136597,857.7001,9.203008,8.909088541666666,12.515375434027778,3.6111422
2018-07-29,2018-11-10,24.653,83.969,34.634003,15.084001,43.04886,14.767534,723.7,7.409524,8.86164279513889,12.198483072916666,3.6680949
2018-07-10,2018-12-10,21.01,86.483,34.351997,13.602,41.897038,13.363417,1365.3999,7.6688313,8.522660590277777,12.086867404513889,3.4031324
2018-07-25,2018-11-29,24.802,87.044,36.3755,13.7755,44.340008,13.088469,645.4,6.265625,9.092419704861111,12.037860243055556,3.562141
2018-07-26,2018-11-23,24.768,84.034,34.804,13.854,43.622807,13.49188,899.1,6.8512397,8.817136501736112,12.089585503472222,3.5862865
2018-07-27,2018-12-27,14.724,77.749,37.9925,17.4425,40.85603,17.122519,256.30002,3.3246753,9.04950954861111,11.913633897569444,5.1382995
2018-07-15,2018-12-12,20.163,86.365,33.576,15.226,41.449726,15.272711,1648.5,8.331126,8.567348090277777,12.0336328125,3.441663
2018-06-20,2018-10-23,26.939,83.709,39.496,16.796,45.206467,16.197742,1252.6,9.301587,8.824793294270833,12.831222873263888,3.8793814
2018-07-15,2018-11-06,24.73,85.319,39.189003,15.389,45.56251,15.530918,937.7999,7.8956523,8.7772509765625,12.389013671875,3.8475156
2018-07-20,2018-11-22,25.782,86.495,37.3325,14.5325,44.757366,14.817802,669.6,7.5079365,9.209002821180556,12.166341145833334,3.6341522
2018-08-12,2018-12-10,16.997,80.193,35.7345,17.8345,41.44847,18.866703,346.7,4.016529,8.893572591145833,11.860958116319445,4.1736283
2018-07-16,2018-12-10,21.705,87.314,34.080498,13.1305,41.76031,12.532974,995.3999,7.966216,8.555221354166667,12.034743923611112,3.3847487
2018-06-21,2018-11-09,27.229,83.661,37.969997,13.72,44.460693,13.445503,1305.9,8.211267,9.033345811631944,12.626251085069445,3.7546713
2018-08-09,2018-11-15,24.04,88.621,34.7065,17.3065,43.522198,17.64855,315.09998,5.585859,9.58958224826389,12.024691840277777,3.7156067
2018-07-31,2018-11-22,23.602,86.778,33.604,14.554,40.718376,13.994801,632.00006,7.052174,8.863629014756944,12.049178602430555,3.5430875
2018-07-30,2018-11-23,17.224,81.304,34.2605,19.2605,39.675007,20.24202,714.9,6.931624,8.543870985243055,12.065961371527777,3.827368
2018-07-25,2018-11-22,23.122,88.538,33.7695,16.369501,41.98216,17.089296,771.6,7.892562,8.743908962673611,12.110319010416667,3.4856403
2018-09-15,2019-01-04,16.855,80.192,36.3025,12.502501,41.125916,11.627533,177.7,2.5267856,9.454768880208333,11.506954210069445,4.076796
2018-09-28,2018-12-31,15.307,79.505,40.1645,14.064501,41.22424,13.664253,242.5,3.863158,9.49791775173611,11.500826822916666,4.029265
2018-08-29,2018-12-26,15.96,80.504,38.5195,17.119501,41.954937,17.750736,274.69998,4.233333,9.665926649305556,11.681282552083333,4.1217732
2018-07-20,2018-12-10,25.131,84.192,37.476,9.976,44.47434,8.219045,1043.0999,6.6180553,8.908535698784723,11.980397135416666,3.5709991
2018-07-03,2018-11-20,27.441,83.436,35.319,12.818999,44.00876,12.527769,1020.1,7.4113474,9.21165256076389,12.383271484375,3.6615171
2018-07-11,2018-11-26,26.573,86.169,37.0985,12.8485,44.648056,12.334408,726.8,6.8705034,9.634587673611112,12.221970486111111,3.7601464
2018-07-26,2018-11-18,25.509,83.185,35.026,14.226,43.50077,14.389872,752.5,6.612069,8.819580078125,12.144527994791666,3.753574
2018-07-25,2018-12-05,20.865,86.403,34.524,14.624,41.813263,14.2113495,1078.2,7.2462687,8.56182888454861,12.000307074652778,3.4278028
2018-07-19,2018-11-10,25.606,83.784,37.124,15.724,44.89344,16.328156,1004.0,7.3913045,8.7955126953125,12.312774522569445,3.7894108
2018-08-24,2018-12-28,17.599,82.677,34.314,16.464,41.322628,16.720366,553.39996,3.8740158,9.380168185763889,11.662734375,3.9294858
2018-07-09,2018-11-10,26.285,85.587,37.0195,13.3195,44.444496,12.743902,821.6,8.096,9.293810763888889,12.424879557291666,3.9138837
2018-07-15,2018-12-14,20.172,86.309,33.432503,14.6825,41.32851,14.647694,1753.0,8.20915,8.310472005208334,12.01914822048611,3.317202
2018-06-26,2018-11-12,20.414,81.46,33.2715,14.471499,38.050663,14.253042,1294.3,7.9142857,7.442471788194444,12.422030164930556,3.540773
2018-07-13,2018-11-14,23.601,86.694,35.082,15.382,43.268387,15.559544,826.5,8.904,8.412247178819445,12.309165581597222,3.5296712
2018-06-22,2018-11-20,21.341,82.111,36.426003,14.876,40.025475,14.24828,1158.4999,7.763158,7.657903645833334,12.393434244791667,3.6176827
2018-06-29,2018-11-11,25.512,88.106,37.1915,15.9415,45.623543,15.656548,833.5,8.661765,8.930746527777778,12.496598307291666,3.6758087
2018-07-30,2018-12-05,18.781,84.462,32.985,15.885,40.37575,13.880224,1132.6,6.1782947,8.955600043402777,11.972152777777778,3.7042732
2018-06-21,2018-10-31,19.809,80.414,35.306,17.106,40.544174,16.85552,1222.1001,9.81203,6.933230794270833,12.543694661458334,3.3174944
2018-07-17,2018-11-15,20.151,80.598,32.948,15.598,38.82725,15.503208,695.5,7.7459016,7.852335069444444,12.235827907986112,3.5346596
2018-08-11,2018-11-28,23.553,86.085,33.526,13.376,40.87843,12.464853,508.30002,6.4636364,9.02776095920139,11.874658203125,3.614885
2018-06-17,2018-10-26,30.021,75.694,40.580498,14.830501,45.706696,13.319313,472.30002,4.0,9.061944444444444,12.919393446180555,4.147831
2018-07-28,2018-11-23,16.8,81.638,34.1305,21.380499,40.654255,23.664202,716.9,6.5882354,8.719413519965277,12.08139431423611,3.8908114
2018-07-05,2018-11-13,27.102,83.351,35.4585,14.5085,43.482353,14.529615,1090.1,7.462121,8.868868815104166,12.442291666666666,3.7099037
2018-06-17,2018-10-21,30.44,76.598,40.1265,14.6265,43.41344,14.330215,718.60004,5.8267717,9.075284830729167,13.002376302083333,3.9807205
2018-04-18,2018-11-18,16.572,81.492,40.213,21.113,46.996674,23.462812,1111.6001,6.0186048,8.623644748263889,12.511991102430555,4.4235435
2018-06-07,2018-11-20,21.353,82.089,37.548,14.798,43.795128,14.145435,1243.2999,7.5868263,7.8110139973958335,12.485375434027778,3.8031268
2018-07-20,2018-11-18,25.252,83.197,35.732502,14.2325,44.476944,14.131178,857.3,7.172131,8.5562451171875,12.208865017361111,3.7568777
2018-06-26,2018-11-14,27.253,83.235,35.348003,13.798,43.594696,14.248039,1242.4001,7.246479,8.989260525173611,12.521016710069444,3.7291543
